Model,Accuracy,ROC-AUC,Accuracy %
XGBoost (Advanced),0.8990351481736734,0.8867124362532363,89.9
Voting Ensemble,0.896106133700896,0.8880761907114132,89.61
XGBoost (Base),0.8957615437629222,0.8857218292382305,89.58
Stacking Ensemble,0.8917987594762233,0.8904536475474267,89.18
RandomForest (Base),0.8900758097863543,0.8995525674206482,89.01
DecisionTree (Base),0.8859407305306685,0.8892607631515327,88.59
RF Top-10 Features,0.8859407305306685,0.8981353789610624,88.59
