src_ip,dst_ip,src_port,dst_port,direction,packet_count,total_bytes,start_time,end_time,burst_count,avg_burst_duration,max_burst_len,outgoing_packet_count,incoming_packet_count,outgoing_bytes,incoming_bytes,avg_payload_entropy,syn_count,ack_count,fin_count,rst_count,packet_size_entropy
83.217.9.73,172.21.245.0,9001,58722,incoming,14,2616,1762608957.935734,1762609022.877312,14,0.0,1,0,14,0,2616,7.621670823116214,0,0,0,0,0.74959525725948
172.21.245.0,83.217.9.73,58722,9001,outgoing,14,6904,1762608957.935887,1762609022.680992,14,0.0,1,14,0,6904,0,7.621670823116214,0,0,0,0,0.74959525725948
